Fecha,Hora,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag
19-07-2018,24:00,0.2,V,57,V,33,V,0.2,V,0.2,V
20-07-2018,24:00,0.2,V,64,V,39,V,0.2,V,0.3,V
21-07-2018,24:00,0.2,V,55,V,41,V,0.2,V,0.2,V
22-07-2018,24:00,,N,,N,,N,,N,,N
23-07-2018,24:00,0.2,V,49,V,25,V,0.2,V,0.3,V
24-07-2018,24:00,0.2,V,46,V,26,V,0.2,V,0.3,V
25-07-2018,24:00,0.7,V,47,V,21,V,0.2,V,0.2,V
26-07-2018,24:00,0.2,V,47,V,22,V,0.2,V,0.3,V
27-07-2018,24:00,,N,,N,,N,,N,,N
28-07-2018,24:00,0.2,V,47,V,28,V,0.2,V,0.2,V
29-07-2018,24:00,0.2,V,50,V,28,V,0.2,V,0.2,V
30-07-2018,24:00,0.2,V,41,V,20,V,0.2,V,0.2,V
31-07-2018,24:00,0.2,V,46,V,28,V,0.2,V,0.7,V
01-08-2018,24:00,0.2,V,51,V,46,V,0.2,V,0.2,V
02-08-2018,24:00,0.2,V,66,V,31,V,0.2,V,0.3,V
03-08-2018,24:00,,N,,N,,N,,N,,N
04-08-2018,24:00,0.2,V,61,V,46,V,0.2,V,0.2,V
05-08-2018,24:00,,D,73,V,62,V,,D,,D
06-08-2018,24:00,,D,83,V,69,V,,D,,D
07-08-2018,24:00,,N,61,V,83,V,,N,,N
08-08-2018,24:00,,N,,N,46,V,,N,,N
09-08-2018,24:00,,N,42,V,29,V,,N,,N
10-08-2018,24:00,,N,,N,,N,,N,,N
11-08-2018,24:00,,N,67,V,58,V,,N,,N
12-08-2018,24:00,,N,74,V,54,V,,N,,N
13-08-2018,24:00,,N,53,V,51,V,,N,,N
14-08-2018,24:00,,N,,N,,N,,N,,N
15-08-2018,24:00,1.4,V,56,V,30,V,0.1,V,0.2,V
16-08-2018,24:00,0.8,V,57,V,17,V,0.1,V,0.1,V
17-08-2018,24:00,0.8,V,64,V,25,V,0.1,V,0.1,V
18-08-2018,24:00,1.1,V,60,V,27,V,0.1,V,0.1,V
19-08-2018,24:00,1,V,68,V,34,V,0.1,V,0.1,V
20-08-2018,24:00,1.2,V,72,V,38,V,0.1,V,0.1,V
21-08-2018,24:00,,N,,N,,N,,N,,N
22-08-2018,24:00,,N,74,V,,N,,N,,N
23-08-2018,24:00,0.3,V,82,V,,N,0.1,V,0.1,V
24-08-2018,24:00,0.4,V,75,V,,N,0.1,V,0.1,V
25-08-2018,24:00,0.2,V,91,V,38,V,0.1,V,0.1,V
26-08-2018,24:00,0.3,V,79,V,42,V,0.1,V,0.1,V
27-08-2018,24:00,0.4,V,77,V,41,V,0.1,V,0.1,V
28-08-2018,24:00,0.3,V,63,V,26,V,0.1,V,0.1,V
29-08-2018,24:00,0.2,V,60,V,28,V,0.1,V,0.1,V
30-08-2018,24:00,0.4,V,73,V,39,V,0.1,V,0.1,V
31-08-2018,24:00,,N,,N,,N,,N,,N
01-09-2018,24:00,0.2,V,83,V,38,V,0.1,V,0.1,V
02-09-2018,24:00,0.2,V,77,V,39,V,0.1,V,0.1,V
03-09-2018,24:00,0.2,V,75,V,37,V,0.1,V,0.2,V
04-09-2018,24:00,0.2,V,54,V,27,V,0.1,V,0.1,V
05-09-2018,24:00,,N,,N,35,V,,N,,N
06-09-2018,24:00,0.3,V,75,V,38,V,0.1,V,0.1,V
07-09-2018,24:00,0.3,V,76,V,30,V,0.1,V,0.1,V
08-09-2018,24:00,0.3,V,74,V,22,V,0.1,V,0.1,V
09-09-2018,24:00,0.2,V,80,V,25,V,0.1,V,0.1,V
10-09-2018,24:00,0.3,V,84,V,37,V,0.1,V,0.1,V
11-09-2018,24:00,0.3,V,77,V,43,V,0.1,V,0.1,V
12-09-2018,24:00,0.3,V,63,V,97,V,0.1,V,0.3,V
13-09-2018,24:00,0.3,V,58,V,56,V,0.1,V,0.2,V
14-09-2018,24:00,0.3,V,62,V,94,V,0.1,V,0.1,V
15-09-2018,24:00,0.2,V,67,V,84,V,0.1,V,0.1,V
16-09-2018,24:00,,N,67,V,,N,,N,,N
17-09-2018,24:00,,N,70,V,,N,,N,,N
18-09-2018,24:00,,N,77,V,,N,,N,,N
19-09-2018,24:00,0.3,V,67,V,39,V,0.1,V,0.1,V
20-09-2018,24:00,0.2,V,58,V,40,V,0.1,V,0.1,V
21-09-2018,24:00,0.2,V,68,V,39,V,0.1,V,0.1,V
22-09-2018,24:00,0.2,V,66,V,46,V,0.1,V,0.1,V
23-09-2018,24:00,0.3,V,80,V,60,V,0.1,V,0.1,V
24-09-2018,24:00,0.5,V,67,V,58,V,0.1,V,0.1,V
25-09-2018,24:00,0.4,V,66,V,50,V,0.1,V,0.1,V
26-09-2018,24:00,0.4,V,61,V,47,V,0.1,V,0.1,V
27-09-2018,24:00,0.3,V,69,V,42,V,0.1,V,0.1,V
28-09-2018,24:00,,N,76,V,45,V,,N,,N
29-09-2018,24:00,0.4,V,76,V,48,V,0.1,V,0.1,V
30-09-2018,24:00,0.4,V,65,V,46,V,0.1,V,0.1,V
01-10-2018,24:00,0.6,V,71,V,58,V,0.1,V,0.7,V
02-10-2018,24:00,0.3,V,73,V,43,V,0.1,V,0.1,V
03-10-2018,24:00,0.3,V,72,V,39,V,0.1,V,0.1,V
04-10-2018,24:00,0.5,V,81,V,48,V,0.1,V,0.1,V
05-10-2018,24:00,,N,,N,,N,,N,,N
06-10-2018,24:00,0.4,V,71,V,35,V,0.1,V,0.1,V
07-10-2018,24:00,0.5,V,64,V,31,V,0.1,V,0.1,V
08-10-2018,24:00,0.4,V,48,V,34,V,0.1,V,0.1,V
09-10-2018,24:00,0.4,V,54,V,30,V,0.1,V,0.1,V
10-10-2018,24:00,0.5,V,54,V,16,V,0.1,V,0.1,V
11-10-2018,24:00,0.5,V,46,V,20,V,0.1,V,0.3,V
12-10-2018,24:00,0.2,V,49,V,18,V,0.1,V,0.1,V
13-10-2018,24:00,0.3,V,48,V,18,V,0.1,V,0.1,V
14-10-2018,24:00,0.3,V,64,V,14,V,0.1,V,0.1,V
15-10-2018,24:00,0.3,V,74,V,22,V,0.1,V,0.1,V
16-10-2018,24:00,0.2,V,68,V,17,V,0.1,V,0.1,V
17-10-2018,24:00,0.3,V,74,V,21,V,0.1,V,0.1,V
18-10-2018,24:00,,N,,N,25,V,,N,,N
19-10-2018,24:00,,N,74,V,,N,,N,,N
20-10-2018,24:00,,N,67,V,,N,,N,,N
21-10-2018,24:00,,N,67,V,,N,,N,,N
22-10-2018,24:00,,N,,N,,N,,N,,N
23-10-2018,24:00,,N,,N,,N,,N,,N
24-10-2018,24:00,,N,,N,,N,,N,,N
25-10-2018,24:00,,N,,N,,N,,N,,N
26-10-2018,24:00,,N,,N,,N,,N,,N
27-10-2018,24:00,,N,,N,,N,,N,,N
28-10-2018,24:00,0.2,V,76,V,19,V,0.1,V,0.1,V
29-10-2018,24:00,0.4,V,71,V,19,V,0.1,V,0.1,V
