Fecha,Hora,Casa Palacio-Puerto del Rosario SO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario NO (µg/m³),Flag,Casa Palacio-Puerto del Rosario NOX (µg/m³),Flag,Casa Palacio-Puerto del Rosario CO (mg/m³),Flag,Casa Palacio-Puerto del Rosario NO2 (µg/m³),Flag
07-08-2011,24:00,7,V,4,V,12,V,0.2,V,6,V
08-08-2011,24:00,7,V,5,V,16,V,0.2,V,9,V
09-08-2011,24:00,6,V,4,V,15,V,0.2,V,9,V
10-08-2011,24:00,4,V,4,V,16,V,0.2,V,10,V
11-08-2011,24:00,5,V,4,V,17,V,0.2,V,11,V
12-08-2011,24:00,5,V,4,V,16,V,0.2,V,11,V
13-08-2011,24:00,6,V,3,V,14,V,0.2,V,9,V
14-08-2011,24:00,6,V,3,V,13,V,0.2,V,8,V
15-08-2011,24:00,6,V,3,V,15,V,0.2,V,10,V
16-08-2011,24:00,6,V,4,V,19,V,0.1,V,12,V
17-08-2011,24:00,7,V,4,V,15,V,0.1,V,9,V
18-08-2011,24:00,7,V,4,V,15,V,0.1,V,9,V
19-08-2011,24:00,7,V,4,V,16,V,0.2,V,10,V
20-08-2011,24:00,7,V,5,V,18,V,0.2,V,10,V
21-08-2011,24:00,7,V,3,V,13,V,0.2,V,8,V
22-08-2011,24:00,7,V,4,V,15,V,0.1,V,10,V
23-08-2011,24:00,7,V,4,V,14,V,0.2,V,9,V
24-08-2011,24:00,6,V,4,V,15,V,0.1,V,9,V
25-08-2011,24:00,6,V,4,V,16,V,0.2,V,10,V
26-08-2011,24:00,6,V,5,V,17,V,0.1,V,10,V
27-08-2011,24:00,6,V,4,V,15,V,0.2,V,10,V
28-08-2011,24:00,7,V,3,V,15,V,0.2,V,10,V
29-08-2011,24:00,7,V,4,V,15,V,0.1,V,9,V
30-08-2011,24:00,7,V,4,V,15,V,0.1,V,10,V
31-08-2011,24:00,8,V,5,V,18,V,0.1,V,11,V
01-09-2011,24:00,7,V,5,V,21,V,0.1,V,13,V
02-09-2011,24:00,7,V,5,V,22,V,0.1,V,15,V
03-09-2011,24:00,8,V,4,V,15,V,0.1,V,9,V
04-09-2011,24:00,8,V,4,V,13,V,0.1,V,7,V
05-09-2011,24:00,9,V,4,V,16,V,0.1,V,10,V
06-09-2011,24:00,9,V,4,V,18,V,0.1,V,12,V
07-09-2011,24:00,10,V,12,V,53,V,0.2,V,35,V
08-09-2011,24:00,12,V,18,V,68,V,0.2,V,40,V
09-09-2011,24:00,8,V,6,V,29,V,0.1,V,21,V
10-09-2011,24:00,6,V,4,V,15,V,0.1,V,10,V
11-09-2011,24:00,6,V,4,V,15,V,0.1,V,9,V
12-09-2011,24:00,7,V,4,V,18,V,0.1,V,12,V
13-09-2011,24:00,7,V,4,V,16,V,0.1,V,10,V
14-09-2011,24:00,8,V,4,V,16,V,0.1,V,10,V
15-09-2011,24:00,8,V,5,V,21,V,0.1,V,14,V
16-09-2011,24:00,8,V,4,V,17,V,0.1,V,10,V
17-09-2011,24:00,8,V,4,V,14,V,0.1,V,9,V
18-09-2011,24:00,8,V,3,V,13,V,0.1,V,8,V
19-09-2011,24:00,9,V,4,V,17,V,0.1,V,11,V
20-09-2011,24:00,9,V,5,V,20,V,0.1,V,13,V
21-09-2011,24:00,9,V,4,V,18,V,0.1,V,12,V
22-09-2011,24:00,9,V,4,V,17,V,0.1,V,11,V
23-09-2011,24:00,10,V,4,V,19,V,0.1,V,13,V
24-09-2011,24:00,10,V,4,V,18,V,0.1,V,11,V
25-09-2011,24:00,10,V,4,V,18,V,0.1,V,11,V
26-09-2011,24:00,10,V,4,V,18,V,0.1,V,11,V
27-09-2011,24:00,10,V,6,V,25,V,0.1,V,16,V
28-09-2011,24:00,11,V,5,V,19,V,0.1,V,12,V
29-09-2011,24:00,11,V,5,V,21,V,0.1,V,14,V
30-09-2011,24:00,12,V,5,V,25,V,0.1,V,18,V
01-10-2011,24:00,12,V,6,V,29,V,0.1,V,20,V
02-10-2011,24:00,12,V,4,V,19,V,0.1,V,12,V
03-10-2011,24:00,13,V,14,V,51,V,0.1,V,30,V
04-10-2011,24:00,,N,6,V,27,V,0.1,V,19,V
05-10-2011,24:00,,N,5,V,28,V,0.2,V,21,V
06-10-2011,24:00,,N,4,V,21,V,0.2,V,16,V
07-10-2011,24:00,,N,3,V,21,V,0.2,V,16,V
08-10-2011,24:00,,N,5,V,23,V,0.1,V,17,V
09-10-2011,24:00,,N,8,V,33,V,0.1,V,20,V
10-10-2011,24:00,,N,9,V,36,V,0.2,V,23,V
11-10-2011,24:00,3,V,8,V,34,V,0.2,V,22,V
12-10-2011,24:00,3,V,3,V,16,V,0.1,V,12,V
13-10-2011,24:00,3,V,4,V,22,V,0.1,V,16,V
14-10-2011,24:00,4,V,4,V,21,V,0.1,V,15,V
15-10-2011,24:00,4,V,3,V,18,V,0.1,V,13,V
16-10-2011,24:00,5,V,3,V,12,V,0.1,V,8,V
17-10-2011,24:00,5,V,5,V,23,V,0.1,V,16,V
18-10-2011,24:00,5,V,4,V,19,V,0.1,V,13,V
19-10-2011,24:00,6,V,4,V,20,V,0.1,V,14,V
20-10-2011,24:00,6,V,4,V,23,V,0.1,V,17,V
21-10-2011,24:00,7,V,4,V,20,V,0.1,V,15,V
22-10-2011,24:00,7,V,3,V,18,V,0.1,V,13,V
23-10-2011,24:00,8,V,4,V,21,V,0.1,V,16,V
24-10-2011,24:00,8,V,4,V,22,V,0.1,V,16,V
25-10-2011,24:00,9,V,6,V,31,V,0.1,V,22,V
26-10-2011,24:00,8,V,6,V,32,V,0.1,V,23,V
27-10-2011,24:00,9,V,5,V,29,V,0.1,V,21,V
28-10-2011,24:00,9,V,4,V,19,V,0.1,V,13,V
29-10-2011,24:00,9,V,3,V,16,V,0.1,V,11,V
30-10-2011,24:00,10,V,3,V,15,V,0.1,V,10,V
31-10-2011,24:00,10,V,4,V,20,V,0.1,V,15,V
01-11-2011,24:00,11,V,4,V,20,V,0.1,V,14,V
02-11-2011,24:00,12,V,6,V,29,V,0.1,V,20,V
03-11-2011,24:00,12,V,6,V,29,V,0.1,V,20,V
04-11-2011,24:00,10,V,4,V,21,V,0.1,V,15,V
05-11-2011,24:00,10,V,4,V,17,V,0.1,V,12,V
06-11-2011,24:00,10,V,3,V,14,V,0.1,V,10,V
07-11-2011,24:00,12,V,4,V,19,V,0.1,V,13,V
08-11-2011,24:00,12,V,4,V,25,V,0.1,V,18,V
09-11-2011,24:00,12,V,8,V,33,V,0.1,V,20,V
10-11-2011,24:00,10,V,6,V,29,V,0.1,V,20,V
11-11-2011,24:00,2,V,8,V,42,V,0.1,V,31,V
12-11-2011,24:00,4,V,12,V,57,V,0.1,V,38,V
13-11-2011,24:00,2,V,3,V,18,V,0.1,V,13,V
14-11-2011,24:00,2,V,5,V,29,V,0.1,V,22,V
15-11-2011,24:00,4,V,4,V,19,V,0.1,V,14,V
16-11-2011,24:00,5,V,4,V,20,V,0.1,V,15,V
17-11-2011,24:00,6,V,4,V,23,V,0.1,V,17,V
18-11-2011,24:00,7,V,5,V,25,V,0.1,V,19,V
19-11-2011,24:00,9,V,4,V,21,V,0.1,V,16,V
20-11-2011,24:00,9,V,3,V,15,V,0.1,V,10,V
21-11-2011,24:00,10,V,4,V,21,V,0.1,V,15,V
22-11-2011,24:00,,N,4,V,19,V,0.1,V,13,V
23-11-2011,24:00,,N,4,V,20,V,0.1,V,13,V
24-11-2011,24:00,,N,4,V,22,V,0.1,V,15,V
25-11-2011,24:00,,N,5,V,23,V,0.1,V,16,V
26-11-2011,24:00,,N,4,V,17,V,0.1,V,12,V
27-11-2011,24:00,,N,3,V,15,V,0.1,V,10,V
28-11-2011,24:00,,N,4,V,21,V,0.1,V,16,V
29-11-2011,24:00,,N,5,V,24,V,0.1,V,17,V
30-11-2011,24:00,,N,4,V,27,V,0.1,V,20,V
01-12-2011,24:00,3,V,6,V,29,V,0.1,V,21,V
02-12-2011,24:00,8,V,52,V,125,V,0.1,V,46,V
03-12-2011,24:00,3,V,4,V,16,V,0.1,V,11,V
04-12-2011,24:00,5,V,9,V,27,V,0.1,V,13,V
05-12-2011,24:00,6,V,6,V,30,V,0.1,V,20,V
06-12-2011,24:00,6,V,4,V,17,V,0.1,V,11,V
07-12-2011,24:00,7,V,9,V,34,V,0.1,V,21,V
08-12-2011,24:00,8,V,13,V,46,V,0.1,V,26,V
09-12-2011,24:00,9,V,16,V,49,V,0.1,V,25,V
10-12-2011,24:00,8,V,4,V,17,V,0.1,V,12,V
11-12-2011,24:00,9,V,3,V,15,V,0.1,V,10,V
12-12-2011,24:00,7,V,5,V,25,V,0.1,V,19,V
13-12-2011,24:00,3,V,4,V,23,V,0.1,V,17,V
14-12-2011,24:00,4,V,5,V,22,V,0.1,V,16,V
15-12-2011,24:00,5,V,5,V,20,V,0.1,V,13,V
16-12-2011,24:00,8,V,4,V,19,V,0.1,V,12,V
17-12-2011,24:00,7,V,4,V,18,V,0.1,V,12,V
18-12-2011,24:00,11,V,4,V,14,V,0.1,V,9,V
19-12-2011,24:00,11,V,5,V,20,V,0.1,V,13,V
20-12-2011,24:00,11,V,7,V,28,V,0.1,V,18,V
21-12-2011,24:00,12,V,8,V,34,V,0.1,V,23,V
22-12-2011,24:00,9,V,5,V,29,V,0.1,V,22,V
23-12-2011,24:00,1,V,4,V,20,V,0.1,V,14,V
24-12-2011,24:00,1,V,4,V,17,V,0.1,V,12,V
25-12-2011,24:00,1,V,5,V,21,V,0.1,V,14,V
26-12-2011,24:00,1,V,5,V,27,V,0.1,V,20,V
27-12-2011,24:00,1,V,5,V,29,V,0.1,V,22,V
28-12-2011,24:00,1,V,5,V,25,V,0.1,V,18,V
29-12-2011,24:00,2,V,11,V,39,V,0.1,V,23,V
30-12-2011,24:00,1,V,5,V,26,V,0.1,V,19,V
31-12-2011,24:00,2,V,5,V,24,V,0.1,V,17,V
