Fecha,Hora,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM2.5 (µg/m³),Flag
29-02-2016,24:00,85,V,0.5,V,0.2,V,0.5,V,3,V
01-03-2016,24:00,,N,,N,,N,,N,,N
02-03-2016,24:00,88,V,,N,,N,,N,9,V
03-03-2016,24:00,88,V,,N,,N,,N,6,V
04-03-2016,24:00,76,V,,N,,N,,N,5,V
05-03-2016,24:00,81,V,,N,,N,,N,3,V
06-03-2016,24:00,87,V,,N,,N,,N,3,V
07-03-2016,24:00,84,V,,N,,N,,N,4,V
08-03-2016,24:00,83,V,,N,,N,,N,4,V
09-03-2016,24:00,89,V,,N,,N,,N,6,V
10-03-2016,24:00,80,V,,N,,N,,N,5,V
11-03-2016,24:00,87,V,,N,,N,,N,6,V
12-03-2016,24:00,86,V,,N,,N,,N,5,V
13-03-2016,24:00,91,V,,N,,N,,N,4,V
14-03-2016,24:00,93,V,,N,,N,,N,5,V
15-03-2016,24:00,93,V,,N,,N,,N,6,V
16-03-2016,24:00,81,V,,N,,N,,N,5,V
17-03-2016,24:00,68,V,,N,,N,,N,4,V
18-03-2016,24:00,74,V,,N,,N,,N,4,V
19-03-2016,24:00,70,V,,N,,N,,N,3,V
20-03-2016,24:00,79,V,,N,,N,,N,2,V
21-03-2016,24:00,95,V,,N,,N,,N,4,V
22-03-2016,24:00,94,V,,N,,N,,N,3,V
23-03-2016,24:00,86,V,,N,,N,,N,4,V
24-03-2016,24:00,92,V,,N,,N,,N,4,V
25-03-2016,24:00,98,V,,N,,N,,N,5,V
26-03-2016,24:00,93,V,,N,,N,,N,5,V
27-03-2016,24:00,89,V,,N,,N,,N,4,V
28-03-2016,24:00,70,V,,N,,N,,N,4,V
29-03-2016,24:00,83,V,,N,,N,,N,4,V
30-03-2016,24:00,79,V,,N,,N,,N,4,V
31-03-2016,24:00,86,V,,N,,N,,N,4,V
01-04-2016,24:00,93,V,,N,,N,,N,5,V
02-04-2016,24:00,91,V,,N,,N,,N,3,V
03-04-2016,24:00,83,V,,N,,N,,N,1,V
04-04-2016,24:00,81,V,,N,,N,,N,3,V
05-04-2016,24:00,71,V,,N,,N,,N,3,V
06-04-2016,24:00,78,V,,N,,N,,N,4,V
07-04-2016,24:00,89,V,,N,,N,,N,6,V
08-04-2016,24:00,92,V,,N,,N,,N,8,V
09-04-2016,24:00,92,V,,N,,N,,N,7,V
