Fecha,Hora,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag
16-04-2011,24:00,71,V,0.3,V,3.8,V,8.2,V,20,V
17-04-2011,24:00,71,V,0.3,V,3.4,V,3,V,15,V
18-04-2011,24:00,91,V,0.3,V,11.1,V,5.5,V,19,V
19-04-2011,24:00,72,V,0.4,V,5,V,3.5,V,18,V
20-04-2011,24:00,77,V,0.4,V,4.9,V,1.1,V,10,V
21-04-2011,24:00,96,V,0.3,V,3.9,V,0.6,V,12,V
22-04-2011,24:00,90,V,0.3,V,3.6,V,0.5,V,9,V
23-04-2011,24:00,98,V,0.3,V,3.5,V,0.4,V,15,V
24-04-2011,24:00,103,V,0.3,V,3.5,V,0.4,V,17,V
25-04-2011,24:00,91,V,0.3,V,4.2,V,0.5,V,16,V
26-04-2011,24:00,85,V,0.4,V,9.6,V,0.6,V,18,V
27-04-2011,24:00,88,V,0.3,V,7.9,V,0.7,V,14,V
28-04-2011,24:00,74,V,,N,,N,,N,11,V
29-04-2011,24:00,86,V,,N,,N,,N,9,V
30-04-2011,24:00,98,V,0.3,V,4,V,0.6,V,14,V
01-05-2011,24:00,109,V,0.3,V,3.9,V,0.5,V,11,V
02-05-2011,24:00,91,V,0.4,V,4.1,V,0.7,V,14,V
03-05-2011,24:00,76,V,0.4,V,5.7,V,0.9,V,9,V
04-05-2011,24:00,78,V,0.4,V,4.3,V,0.8,V,6,V
05-05-2011,24:00,75,V,0.3,V,4.2,V,0.5,V,9,V
06-05-2011,24:00,74,V,0.3,V,3.5,V,0.6,V,9,V
07-05-2011,24:00,74,V,0.3,V,2.9,V,0.4,V,6,V
08-05-2011,24:00,107,V,0.3,V,2.9,V,0.4,V,14,V
09-05-2011,24:00,96,V,0.3,V,3.1,V,0.4,V,23,V
10-05-2011,24:00,85,V,0.3,V,3.4,V,0.6,V,50,V
11-05-2011,24:00,91,V,0.3,V,16.3,V,1.6,V,52,V
12-05-2011,24:00,80,V,0.3,V,11.7,V,2.1,V,79,V
13-05-2011,24:00,60,V,0.4,V,13.1,V,1.4,V,65,V
14-05-2011,24:00,62,V,0.3,V,3.2,V,0.7,V,59,V
15-05-2011,24:00,64,V,0.3,V,2.7,V,0.5,V,56,V
16-05-2011,24:00,67,V,0.3,V,5.6,V,0.8,V,46,V
17-05-2011,24:00,63,V,0.3,V,3.5,V,0.6,V,47,V
18-05-2011,24:00,66,V,0.3,V,5.2,V,0.5,V,26,V
19-05-2011,24:00,84,V,0.3,V,3.2,V,0.4,V,26,V
20-05-2011,24:00,86,V,0.3,V,3,V,0.4,V,15,V
21-05-2011,24:00,86,V,0.3,V,2.7,V,0.4,V,24,V
22-05-2011,24:00,91,V,0.3,V,2.6,V,0.4,V,27,V
23-05-2011,24:00,85,V,0.3,V,3.8,V,0.6,V,31,V
24-05-2011,24:00,68,V,0.3,V,3.1,V,0.8,V,34,V
25-05-2011,24:00,63,V,0.3,V,3.3,V,0.8,V,30,V
26-05-2011,24:00,59,V,0.3,V,3.5,V,0.7,V,25,V
27-05-2011,24:00,57,V,0.3,V,3.4,V,0.7,V,20,V
28-05-2011,24:00,73,V,0.3,V,3,V,0.5,V,12,V
29-05-2011,24:00,65,V,0.3,V,2.7,V,0.5,V,12,V
30-05-2011,24:00,72,V,0.3,V,2.5,V,0.4,V,10,V
31-05-2011,24:00,81,V,0.3,V,2.6,V,0.4,V,15,V
01-06-2011,24:00,76,V,0.3,V,2.9,V,0.4,V,21,V
02-06-2011,24:00,87,V,0.3,V,2.6,V,0.4,V,21,V
03-06-2011,24:00,84,V,0.3,V,2.7,V,0.5,V,22,V
04-06-2011,24:00,93,V,,N,,N,,N,18,V
05-06-2011,24:00,110,V,,N,,N,,N,22,V
06-06-2011,24:00,104,V,,N,,N,,N,18,V
07-06-2011,24:00,88,V,0.3,V,2.9,V,0.4,V,22,V
08-06-2011,24:00,83,V,0.3,V,4.2,V,0.5,V,14,V
09-06-2011,24:00,83,V,0.3,V,2.8,V,0.4,V,16,V
10-06-2011,24:00,61,V,0.3,V,2.6,V,0.5,V,11,V
11-06-2011,24:00,64,V,0.3,V,2.5,V,0.4,V,8,V
12-06-2011,24:00,63,V,0.3,V,2.2,V,0.4,V,17,V
13-06-2011,24:00,70,V,0.3,V,5,V,0.4,V,31,V
14-06-2011,24:00,62,V,0.3,V,6.7,V,0.6,V,32,V
15-06-2011,24:00,65,V,0.3,V,15.6,V,0.6,V,31,V
16-06-2011,24:00,60,V,0.3,V,7.6,V,0.4,V,38,V
17-06-2011,24:00,64,V,0.3,V,89,V,20.3,V,34,V
18-06-2011,24:00,62,V,0.3,V,154.2,V,8.7,V,31,V
19-06-2011,24:00,69,V,0.3,V,53.3,V,4,V,45,V
20-06-2011,24:00,75,V,0.3,V,42.9,V,2.7,V,60,V
21-06-2011,24:00,94,V,0.3,V,6.6,V,1.6,V,57,V
22-06-2011,24:00,82,V,0.3,V,3.1,V,1.7,V,44,V
23-06-2011,24:00,77,V,0.3,V,2.8,V,1.8,V,38,V
24-06-2011,24:00,77,V,0.3,V,1.6,V,1.8,V,48,V
25-06-2011,24:00,87,V,0.3,V,1.4,V,1.9,V,31,V
26-06-2011,24:00,83,V,0.3,V,1.1,V,2,V,33,V
27-06-2011,24:00,81,V,0.3,V,0.7,V,1.8,V,29,V
28-06-2011,24:00,79,V,0.3,V,0.5,V,1.7,V,39,V
29-06-2011,24:00,76,V,0.3,V,0.4,V,1.7,V,38,V
30-06-2011,24:00,79,V,0.3,V,1.2,V,1.6,V,51,V
