Fecha,Hora,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag
02-04-2014,24:00,94,V,0.4,V,1.8,V,21,V,0.2,V
03-04-2014,24:00,95,V,0.4,V,1.7,V,23,V,0.2,V
04-04-2014,24:00,98,V,0.3,V,1.6,V,20,V,0.2,V
05-04-2014,24:00,102,V,0.3,V,1.5,V,27,V,0.2,V
06-04-2014,24:00,95,V,0.3,V,1.6,V,32,V,0.2,V
07-04-2014,24:00,76,V,0.3,V,2.2,V,36,V,0.2,V
08-04-2014,24:00,73,V,0.4,V,2.1,V,35,V,0.2,V
09-04-2014,24:00,73,V,0.3,V,1.8,V,29,V,0.2,V
10-04-2014,24:00,64,V,0.3,V,2.1,V,39,V,0.2,V
11-04-2014,24:00,75,V,0.3,V,1.5,V,35,V,0.2,V
12-04-2014,24:00,80,V,0.3,V,1.3,V,31,V,0.2,V
13-04-2014,24:00,74,V,0.3,V,1.4,V,22,V,0.2,V
14-04-2014,24:00,68,V,0.3,V,1.9,V,33,V,0.2,V
15-04-2014,24:00,78,V,0.3,V,1.5,V,24,V,0.2,V
16-04-2014,24:00,72,V,0.2,V,1.3,V,18,V,0.2,V
17-04-2014,24:00,65,V,0.2,V,1.3,V,16,V,0.2,V
18-04-2014,24:00,66,V,0.2,V,1.2,V,14,V,0.2,V
19-04-2014,24:00,65,V,0.3,V,1.4,V,14,V,0.2,V
20-04-2014,24:00,83,V,0.3,V,1.4,V,20,V,0.2,V
21-04-2014,24:00,80,V,0.3,V,1.7,V,26,V,0.2,V
22-04-2014,24:00,76,V,0.2,V,1.7,V,21,V,0.2,V
23-04-2014,24:00,78,V,0.2,V,1.6,V,18,V,0.2,V
24-04-2014,24:00,84,V,0.2,V,1.6,V,24,V,0.2,V
25-04-2014,24:00,97,V,0.3,V,1.7,V,29,V,0.2,V
26-04-2014,24:00,102,V,0.3,V,1.5,V,37,V,0.2,V
27-04-2014,24:00,82,V,0.2,V,1.5,V,33,V,0.2,V
28-04-2014,24:00,82,V,,C,,C,33,V,,C
29-04-2014,24:00,73,V,0.3,V,2.3,V,32,V,0.2,V
30-04-2014,24:00,70,V,0.2,V,2.9,V,31,V,0.2,V
01-05-2014,24:00,83,V,0.2,V,1,V,32,V,0.2,V
02-05-2014,24:00,84,V,0.3,V,1,V,38,V,0.2,V
03-05-2014,24:00,95,V,0.2,V,0.7,V,31,V,0.2,V
04-05-2014,24:00,102,V,0.3,V,0.1,V,30,V,0.3,V
05-05-2014,24:00,100,V,,N,,N,30,V,,N
06-05-2014,24:00,92,V,,N,,N,33,V,,N
07-05-2014,24:00,82,V,,N,,N,31,V,,N
08-05-2014,24:00,76,V,,N,,N,34,V,,N
09-05-2014,24:00,77,V,0.2,V,1.1,V,35,V,0.2,V
10-05-2014,24:00,68,V,0.2,V,1.3,V,28,V,0.2,V
11-05-2014,24:00,74,V,0.2,V,1.1,V,34,V,0.2,V
12-05-2014,24:00,62,V,0.3,V,1.2,V,41,V,0.2,V
13-05-2014,24:00,72,V,0.2,V,1.1,V,45,V,0.2,V
14-05-2014,24:00,63,V,0.3,V,1.7,V,56,V,0.2,V
15-05-2014,24:00,75,V,0.3,V,1.8,V,47,V,0.2,V
16-05-2014,24:00,81,V,0.2,V,1.1,V,40,V,0.2,V
17-05-2014,24:00,107,V,0.2,V,0.8,V,35,V,0.2,V
