Fecha,Hora,Casa Palacio-Puerto del Rosario NO (µg/m³),Flag,Casa Palacio-Puerto del Rosario NO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario SO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario CO (mg/m³),Flag,Casa Palacio-Puerto del Rosario NOX (µg/m³),Flag
07-05-2017,24:00,7,V,12,V,1,V,0.2,V,23,V
08-05-2017,24:00,5,V,13,V,1,V,0.2,V,21,V
09-05-2017,24:00,7,V,13,V,1,V,0.2,V,23,V
10-05-2017,24:00,5,V,12,V,2,V,0.2,V,20,V
11-05-2017,24:00,5,V,11,V,2,V,0.2,V,19,V
12-05-2017,24:00,6,V,12,V,1,V,0.2,V,21,V
13-05-2017,24:00,5,V,8,V,1,V,0.2,V,16,V
14-05-2017,24:00,7,V,8,V,1,V,0.2,V,18,V
15-05-2017,24:00,6,V,9,V,1,V,0.2,V,18,V
16-05-2017,24:00,6,V,9,V,1,V,0.2,V,18,V
17-05-2017,24:00,6,V,10,V,1,V,0.2,V,18,V
18-05-2017,24:00,6,V,9,V,1,V,0.2,V,18,V
19-05-2017,24:00,6,V,10,V,1,V,0.2,V,18,V
20-05-2017,24:00,5,V,9,V,2,V,0.2,V,17,V
21-05-2017,24:00,6,V,7,V,1,V,0.1,V,15,V
22-05-2017,24:00,6,V,9,V,1,V,0.1,V,18,V
23-05-2017,24:00,6,V,10,V,1,V,0.1,V,19,V
24-05-2017,24:00,6,V,10,V,1,V,0.2,V,18,V
25-05-2017,24:00,7,V,9,V,1,V,0.2,V,19,V
26-05-2017,24:00,6,V,9,V,1,V,0.2,V,19,V
27-05-2017,24:00,7,V,11,V,2,V,0.2,V,21,V
28-05-2017,24:00,5,V,7,V,1,V,0.2,V,15,V
29-05-2017,24:00,6,V,10,V,1,V,0.2,V,19,V
30-05-2017,24:00,6,V,7,V,1,V,0.1,V,15,V
31-05-2017,24:00,6,V,8,V,1,V,0.1,V,17,V
01-06-2017,24:00,6,V,8,V,1,V,0.2,V,18,V
02-06-2017,24:00,6,V,9,V,1,V,0.2,V,17,V
03-06-2017,24:00,6,V,7,V,1,V,0.1,V,16,V
04-06-2017,24:00,6,V,6,V,1,V,0.1,V,15,V
05-06-2017,24:00,6,V,9,V,1,V,0.2,V,19,V
06-06-2017,24:00,7,V,9,V,1,V,0.2,V,18,V
07-06-2017,24:00,6,V,8,V,2,V,0.2,V,18,V
08-06-2017,24:00,6,V,9,V,1,V,0.2,V,18,V
09-06-2017,24:00,6,V,9,V,2,V,0.2,V,18,V
