Fecha,Hora,Casa Palacio-Puerto del Rosario PM2.5 (µg/m³),Flag,Casa Palacio-Puerto del Rosario DD (Grd),Flag,Casa Palacio-Puerto del Rosario VV (m/s),Flag,Casa Palacio-Puerto del Rosario HR (%),Flag,Casa Palacio-Puerto del Rosario LL (l/m²),Flag
01-07-2013,24:00,10,V,334,V,2.9,V,63,V,0,V
02-07-2013,24:00,8,V,22,V,3.3,V,68,V,0,V
03-07-2013,24:00,6,V,22,V,2.9,V,67,V,0,V
04-07-2013,24:00,4,V,21,V,2.8,V,62,V,0,V
05-07-2013,24:00,4,V,316,V,2.3,V,58,V,0,V
06-07-2013,24:00,5,V,316,V,2.8,V,56,V,0,V
07-07-2013,24:00,6,V,317,V,3.1,V,58,V,0,V
08-07-2013,24:00,9,V,21,V,2.8,V,62,V,0,V
09-07-2013,24:00,14,V,22,V,1.8,V,55,V,0,V
10-07-2013,24:00,9,V,158,V,2.1,V,69,V,0,V
11-07-2013,24:00,10,V,158,V,2.1,V,63,V,0,V
12-07-2013,24:00,12,V,22,V,2.6,V,61,V,0,V
13-07-2013,24:00,11,V,22,V,2.5,V,46,V,0,V
14-07-2013,24:00,10,V,22,V,2.5,V,68,V,0,V
15-07-2013,24:00,9,V,21,V,2.6,V,67,V,0,V
16-07-2013,24:00,11,V,335,V,3.1,V,49,V,0,V
17-07-2013,24:00,10,V,335,V,3.5,V,41,V,0,V
18-07-2013,24:00,12,V,335,V,3.6,V,54,V,0,V
19-07-2013,24:00,10,V,335,V,4.1,V,56,V,0,V
20-07-2013,24:00,8,V,334,V,4,V,56,V,0,V
21-07-2013,24:00,5,V,22,V,3.4,V,64,V,0,V
22-07-2013,24:00,5,V,22,V,3.2,V,65,V,0,V
23-07-2013,24:00,5,V,22,V,3.1,V,66,V,0,V
24-07-2013,24:00,5,V,333,V,3.5,V,63,V,0,V
25-07-2013,24:00,5,V,22,V,3.6,V,69,V,0,V
26-07-2013,24:00,6,V,23,V,3,V,69,V,0,V
27-07-2013,24:00,6,V,22,V,2.1,V,66,V,0,V
28-07-2013,24:00,5,V,22,V,2.8,V,66,V,0,V
29-07-2013,24:00,6,V,21,V,3.7,V,61,V,0,V
30-07-2013,24:00,7,V,335,V,3.6,V,57,V,0,V
31-07-2013,24:00,7,V,334,V,3.1,V,59,V,0,V
01-08-2013,24:00,6,V,335,V,3.2,V,58,V,0,V
02-08-2013,24:00,6,V,22,V,4.7,V,63,V,0,V
03-08-2013,24:00,7,V,335,V,3.4,V,62,V,0,V
04-08-2013,24:00,9,V,335,V,3.2,V,60,V,0,V
05-08-2013,24:00,8,V,335,V,2.9,V,51,V,0,V
06-08-2013,24:00,8,V,22,V,2.9,V,54,V,0,V
07-08-2013,24:00,8,V,22,V,3.6,V,63,V,0,V
08-08-2013,24:00,7,V,22,V,3.5,V,69,V,0,V
09-08-2013,24:00,8,V,22,V,3.3,V,62,V,0,V
10-08-2013,24:00,9,V,333,V,2,V,45,V,0,V
11-08-2013,24:00,14,V,158,V,1.8,V,55,V,0,V
12-08-2013,24:00,13,V,158,V,1.4,V,58,V,0,V
13-08-2013,24:00,,N,180,V,1.6,V,56,V,0,V
14-08-2013,24:00,,N,22,V,3.5,V,47,V,0,V
15-08-2013,24:00,,N,22,V,3,V,37,V,0,V
16-08-2013,24:00,,N,22,V,4.7,V,47,V,0,V
17-08-2013,24:00,,N,22,V,4.3,V,48,V,0,V
18-08-2013,24:00,,N,335,V,3.6,V,65,V,0,V
19-08-2013,24:00,,N,158,V,1.4,V,68,V,0,V
20-08-2013,24:00,,N,293,V,2,V,61,V,0,V
21-08-2013,24:00,,N,22,V,3,V,58,V,0,V
22-08-2013,24:00,,N,334,V,2.9,V,38,V,0,V
23-08-2013,24:00,12,V,22,V,2.8,V,57,V,0,V
24-08-2013,24:00,10,V,22,V,3,V,64,V,0,V
25-08-2013,24:00,7,V,6,V,3.3,V,63,V,0,V
26-08-2013,24:00,7,V,335,V,2.9,V,53,V,0,V
27-08-2013,24:00,7,V,334,V,3.1,V,59,V,0,V
28-08-2013,24:00,7,V,334,V,2.8,V,56,V,0,V
29-08-2013,24:00,12,V,335,V,1.4,V,62,V,0,V
30-08-2013,24:00,11,V,23,V,2.6,V,62,V,0,V
31-08-2013,24:00,12,V,23,V,2.6,V,67,V,0,V
01-09-2013,24:00,12,V,336,V,1.9,V,68,V,0,V
02-09-2013,24:00,12,V,22,V,3.2,V,71,V,0,V
03-09-2013,24:00,11,V,335,V,2,V,69,V,0,V
04-09-2013,24:00,11,V,334,V,2.7,V,68,V,0,V
05-09-2013,24:00,9,V,336,V,2.3,V,62,V,0,V
06-09-2013,24:00,8,V,336,V,1.7,V,68,V,0,V
07-09-2013,24:00,8,V,334,V,1.9,V,64,V,0,V
08-09-2013,24:00,8,V,22,V,3.8,V,69,V,0,V
09-09-2013,24:00,8,V,22,V,3.2,V,67,V,0,V
10-09-2013,24:00,8,V,22,V,2.5,V,68,V,0,V
